provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan
JAWA BARAT,3204,KABUPATEN BANDUNG,9580,RIBU RUPIAH
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7698,RIBU RUPIAH
JAWA BARAT,3216,KABUPATEN BEKASI,10435,RIBU RUPIAH
JAWA BARAT,3201,KABUPATEN BOGOR,9537,RIBU RUPIAH
JAWA BARAT,3207,KABUPATEN CIAMIS,8432,RIBU RUPIAH
JAWA BARAT,3203,KABUPATEN CIANJUR,7074,RIBU RUPIAH
JAWA BARAT,3209,KABUPATEN CIREBON,9463,RIBU RUPIAH
JAWA BARAT,3205,KABUPATEN GARUT,7079,RIBU RUPIAH
JAWA BARAT,3212,KABUPATEN INDRAMAYU,8866,RIBU RUPIAH
JAWA BARAT,3215,KABUPATEN KARAWANG,10379,RIBU RUPIAH
JAWA BARAT,3208,KABUPATEN KUNINGAN,8580,RIBU RUPIAH
JAWA BARAT,3210,KABUPATEN MAJALENGKA,8594,RIBU RUPIAH
JAWA BARAT,3218,KABUPATEN PANGANDARAN,8312,RIBU RUPIAH
JAWA BARAT,3214,KABUPATEN PURWAKARTA,10732,RIBU RUPIAH
JAWA BARAT,3213,KABUPATEN SUBANG,10012,RIBU RUPIAH
JAWA BARAT,3202,KABUPATEN SUKABUMI,8077,RIBU RUPIAH
JAWA BARAT,3211,KABUPATEN SUMEDANG,9339,RIBU RUPIAH
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7081,RIBU RUPIAH
JAWA BARAT,3273,KOTA BANDUNG,15805,RIBU RUPIAH
JAWA BARAT,3279,KOTA BANJAR,9815,RIBU RUPIAH
JAWA BARAT,3275,KOTA BEKASI,15236,RIBU RUPIAH
JAWA BARAT,3271,KOTA BOGOR,10662,RIBU RUPIAH
JAWA BARAT,3277,KOTA CIMAHI,11141,RIBU RUPIAH
JAWA BARAT,3274,KOTA CIREBON,10824,RIBU RUPIAH
JAWA BARAT,3276,KOTA DEPOK,14560,RIBU RUPIAH
JAWA BARAT,3272,KOTA SUKABUMI,9819,RIBU RUPIAH
JAWA BARAT,3278,KOTA TASIKMALAYA,9145,RIBU RUPIAH
