provinsi,kode_kabupaten_kota,nama_kabupaten_kota,penduduk_miskin,satuan
JAWA BARAT,3204,KABUPATEN BANDUNG,8,%
JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12.67,%
JAWA BARAT,3216,KABUPATEN BEKASI,5.27,%
JAWA BARAT,3201,KABUPATEN BOGOR,8.96,%
JAWA BARAT,3207,KABUPATEN CIAMIS,8.98,%
JAWA BARAT,3203,KABUPATEN CIANJUR,12.21,%
JAWA BARAT,3209,KABUPATEN CIREBON,14.77,%
JAWA BARAT,3205,KABUPATEN GARUT,12.81,%
JAWA BARAT,3212,KABUPATEN INDRAMAYU,14.98,%
JAWA BARAT,3215,KABUPATEN KARAWANG,10.37,%
JAWA BARAT,3208,KABUPATEN KUNINGAN,13.97,%
JAWA BARAT,3210,KABUPATEN MAJALENGKA,14.19,%
JAWA BARAT,3218,KABUPATEN PANGANDARAN,10.76,%
JAWA BARAT,3214,KABUPATEN PURWAKARTA,9.14,%
JAWA BARAT,3213,KABUPATEN SUBANG,12.27,%
JAWA BARAT,3202,KABUPATEN SUKABUMI,8.96,%
JAWA BARAT,3211,KABUPATEN SUMEDANG,11.36,%
JAWA BARAT,3206,KABUPATEN TASIKMALAYA,11.99,%
JAWA BARAT,3273,KOTA BANDUNG,4.61,%
JAWA BARAT,3279,KOTA BANJAR,7.41,%
JAWA BARAT,3275,KOTA BEKASI,5.46,%
JAWA BARAT,3271,KOTA BOGOR,7.6,%
JAWA BARAT,3277,KOTA CIMAHI,5.84,%
JAWA BARAT,3274,KOTA CIREBON,10.36,%
JAWA BARAT,3276,KOTA DEPOK,2.4,%
JAWA BARAT,3272,KOTA SUKABUMI,8.79,%
JAWA BARAT,3278,KOTA TASIKMALAYA,16.28,%
